ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count,poverty_rate,mean_cons_ae,label_source
Kigali City,Nyarugenge,Gitega,RW1101,30.248611450195312,37.057373046875,4.39701783782886,22726.2578125,22726.2578125,19.8609,2,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Kanyinya,RW1102,2.682175485711349,11.35682487487793,1.5804660398731707,1896.2553385416663,56887.66015625,4.4369,2,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Kigali,RW1103,4.426003560532618,16.59145164489746,3.5689176865726067,1599.624747983871,49588.3671875,7.2218,1,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Kimisagara,RW1104,14.054430448091948,30.4676570892334,7.248187968212654,20985.2421875,62955.7265625,15.0607,9,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Mageregere,RW1105,1.2733702659606934,4.67155122756958,1.1558735676493002,627.9979567307693,40819.8671875,3.7909,2,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Muhima,RW1106,34.448437030498795,46.990333557128906,6.469979243770517,7336.042317708333,22008.126953125,12.3141,29,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Nyakabanda,RW1107,12.862579345703123,22.994333267211918,5.67584504390981,13995.287760416666,41985.86328125,12.9946,2,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Nyamirambo,RW1108,10.053359613185975,25.75843811035156,7.2499235221629394,6129.697443181818,67426.671875,11.567,16,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Nyarugenge,RW1109,38.10875302269345,56.72774505615234,9.09051858467122,5171.477864583333,31028.8671875,13.0172,51,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Nyarugenge,Rwezamenyo,RW1110,24.79635162353516,32.85737609863281,4.305358693223896,13041.072265625,13041.072265625,16.4527,8,0,0.0531712358125414,2152863.385634881,EICV7_survey
Kigali City,Gasabo,Bumbogo,RW1201,3.9483646831445993,24.471195220947266,5.302486450765279,1197.3974471830986,85015.21875,5.8481,3,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Gatsata,RW1202,7.977414812360491,24.96153450012207,4.584517965089865,9502.4189453125,76019.3515625,8.9852,3,0,0.08365108654520327,2196102.34520929,EICV7_survey
